country,population,per_capita_income,life_expectancy,energy_use_per_person,economic_growth,democratic_score,CO2_emission_per_person
Marshall Islands,53000,18900,74.5,127,2.01,6,0.667
Mauritania,4180000,16700,76.2,751,2.41,4,3.36
Mauritius,1260000,3290,65.3,756,0.453,-10,3.87
Mexico,126000000,4750,72.1,5860,-0.424,10,1.45
"Micronesia, Fed. Sts.",104000,58800,68.2,6650,1.25,-8,1.21
Moldova,4070000,11400,76.9,524,-1.04,6,7.13
Monaco,38300,15300,74.8,,2.74,9,3.52
Mongolia,2980000,7290,59,882,0.601,4,1.74
Montenegro,628000,1120,69.5,709,1.22,8,0.31
Morocco,34800000,5070,64.3,507,1.05,9,0.417
Mozambique,28000000,9910,69.7,433,1.62,8,1.58
Myanmar,52400000,12300,81.6,2530,0.0516,10,4.31
Namibia,2430000,2300,81.5,2400,-0.935,10,0.284
Nauru,11300,46400,78,18600,2.22,-10,9.91
Nepal,28700000,34600,61.2,1900,1.26,9,7.59
Netherlands,16900000,4960,64,4710,4.16,4,0.809
New Zealand,4610000,897,70.6,318,2.16,-4,0.111
Nicaragua,6080000,5670,82.1,270,3.03,-10,0.546
Niger,19900000,1390,77.4,5560,2.83,7,1.61
Nigeria,181000000,63700,67.3,253,2.2,8,9.27
North Korea,25200000,40100,71.8,2250,3.71,7,15.4
Norway,5200000,4700,78.7,2410,3,-2,0.896
Oman,4200000,14400,60.5,4680,0.632,10,12.3
Pakistan,189000000,2650,74.4,3320,-0.969,10,0.626
Palau,21300,20700,79.5,3630,0.567,8,2.25
Palestine,4660000,2750,70.1,130,-2.41,,0.815
Panama,3970000,8640,77.7,2730,1.58,9,0.87
Papua New Guinea,7920000,11800,80.8,4560,3.85,8,1.99
Paraguay,6640000,6880,80.5,,3.8,10,1.06
Peru,31400000,25300,75.1,3180,-3.84,4,7.46
Philippines,102000000,26500,70.8,467,-3.25,-2,4.3
Poland,38300000,120000,67.3,1670,1.95,5,45.4
Portugal,10400000,20500,71.7,765,4.44,-9,3.5
Qatar,2480000,24100,70.3,642,2.84,10,11.9
Romania,19900000,1720,76.8,366,3.45,10,0.074
Russia,144000000,5560,65.9,1120,3.91,-7,1.03
Rwanda,11600000,39200,75.7,372,-0.219,-3,0.594
Samoa,194000,2940,73.7,5470,1.78,-1,19.5
San Marino,33000,50700,57.6,3410,0.559,7,0.609
