HSCode,value,country
28,664.48,AUSTRALIA
29,4.2,AUSTRALIA
30,14.53,AUSTRALIA
31,0.2,AUSTRALIA
32,95.3,AUSTRALIA
33,4.35,AUSTRALIA
34,6.03,AUSTRALIA
35,2.57,AUSTRALIA
37,0.01,AUSTRALIA
38,7.64,AUSTRALIA
39,18.57,AUSTRALIA
40,7.06,AUSTRALIA
41,5.58,AUSTRALIA
42,0.36,AUSTRALIA
44,1.43,AUSTRALIA
46,0.02,AUSTRALIA
47,29.73,AUSTRALIA
48,46.55,AUSTRALIA
49,0.95,AUSTRALIA
50,0.03,AUSTRALIA
51,202.19,AUSTRALIA
52,58.99,AUSTRALIA
53,0,AUSTRALIA
54,0.42,AUSTRALIA
55,0.22,AUSTRALIA
56,1.21,AUSTRALIA
57,0.16,AUSTRALIA
58,0.17,AUSTRALIA
59,0.47,AUSTRALIA
60,0.34,AUSTRALIA
61,0.03,AUSTRALIA
62,0.18,AUSTRALIA
63,1.37,AUSTRALIA
64,0.23,AUSTRALIA
65,0.02,AUSTRALIA
66,0,AUSTRALIA
67,0.01,AUSTRALIA
68,0.09,AUSTRALIA
69,0.56,AUSTRALIA
70,1.94,AUSTRALIA
71,579.51,AUSTRALIA
72,117.84,AUSTRALIA
73,9.23,AUSTRALIA
74,27.74,AUSTRALIA
75,40.13,AUSTRALIA
76,193.09,AUSTRALIA
78,110.74,AUSTRALIA
79,38.66,AUSTRALIA
81,0.03,AUSTRALIA
82,0.44,AUSTRALIA
83,1.11,AUSTRALIA
84,87.76,AUSTRALIA
85,34.93,AUSTRALIA
86,4.79,AUSTRALIA
87,8.85,AUSTRALIA
88,0.16,AUSTRALIA
89,30.61,AUSTRALIA
90,55.84,AUSTRALIA
91,0.01,AUSTRALIA
92,0,AUSTRALIA
93,0.31,AUSTRALIA
94,1.6,AUSTRALIA
95,2.42,AUSTRALIA
96,0.14,AUSTRALIA
97,0.86,AUSTRALIA
98,1.22,AUSTRALIA
99,0.28,AUSTRALIA
1,,AUSTRIA
2,,AUSTRIA
3,0.06,AUSTRIA
4,,AUSTRIA
5,,AUSTRIA
7,2.79,AUSTRIA
10,0.02,AUSTRIA
11,0.04,AUSTRIA
13,0.04,AUSTRIA
15,,AUSTRIA
16,0.03,AUSTRIA
17,0.01,AUSTRIA
19,0,AUSTRIA
20,0,AUSTRIA
21,0.02,AUSTRIA
22,0.41,AUSTRIA
23,2.16,AUSTRIA
25,0.92,AUSTRIA
26,0,AUSTRIA
27,14.03,AUSTRIA
28,5.29,AUSTRIA
29,30,AUSTRIA
30,14.66,AUSTRIA
31,,AUSTRIA
32,1.65,AUSTRIA
33,0.8,AUSTRIA
34,0.23,AUSTRIA
35,4.65,AUSTRIA
37,0.18,AUSTRIA
38,5.7,AUSTRIA
39,22.09,AUSTRIA
40,12.05,AUSTRIA
41,2.18,AUSTRIA
42,0.04,AUSTRIA
43,0.11,AUSTRIA
44,9.8,AUSTRIA
45,0,AUSTRIA
46,,AUSTRIA
47,6.27,AUSTRIA
48,22.24,AUSTRIA
49,5.98,AUSTRIA
50,0.03,AUSTRIA
51,0,AUSTRIA
52,0.11,AUSTRIA
53,0.05,AUSTRIA
54,0.42,AUSTRIA
55,54.13,AUSTRIA
56,0.83,AUSTRIA
57,0,AUSTRIA
58,0.61,AUSTRIA
59,1.06,AUSTRIA
60,0.83,AUSTRIA
61,0.12,AUSTRIA
62,0.03,AUSTRIA
63,0.27,AUSTRIA
64,0.16,AUSTRIA
65,0.01,AUSTRIA
66,0,AUSTRIA
67,,AUSTRIA
68,9.86,AUSTRIA
69,4.69,AUSTRIA
70,14.04,AUSTRIA
71,0.82,AUSTRIA
72,32.31,AUSTRIA
73,20.7,AUSTRIA
74,3.9,AUSTRIA
75,1.05,AUSTRIA
76,3.39,AUSTRIA
78,0.48,AUSTRIA
79,0.5,AUSTRIA
80,0,AUSTRIA
81,13.85,AUSTRIA
82,8.77,AUSTRIA
83,5.08,AUSTRIA
84,146.6,AUSTRIA
85,88.68,AUSTRIA
86,2.07,AUSTRIA
87,7.03,AUSTRIA
88,0.63,AUSTRIA
90,107.64,AUSTRIA
91,0.21,AUSTRIA
92,,AUSTRIA
93,0.27,AUSTRIA
94,6.04,AUSTRIA
95,0.02,AUSTRIA
96,0.91,AUSTRIA
97,0.03,AUSTRIA
98,13.64,AUSTRIA
99,0,AUSTRIA
12,0.03,AZERBAIJAN
18,,AZERBAIJAN
20,,AZERBAIJAN
27,145.75,AZERBAIJAN
28,,AZERBAIJAN
29,0,AZERBAIJAN
32,,AZERBAIJAN
38,0,AZERBAIJAN
41,0.42,AZERBAIJAN
44,,AZERBAIJAN
52,0.35,AZERBAIJAN
73,,AZERBAIJAN
78,0.39,AZERBAIJAN
84,0.85,AZERBAIJAN
85,,AZERBAIJAN
90,0.09,AZERBAIJAN
97,,AZERBAIJAN
99,,AZERBAIJAN
27,32.49,BAHAMAS
33,,BAHAMAS
38,0.07,BAHAMAS
39,0.21,BAHAMAS
40,0.01,BAHAMAS
47,,BAHAMAS
48,0.03,BAHAMAS
49,,BAHAMAS
71,,BAHAMAS
72,0.32,BAHAMAS
